V00_hist_seq
	GMS	TY_total	TY_MCA		NT_BC
# initial for Oct, from AOP2018 HYSIM study
1940	459564	186727	95207	25136
1941	396238	130133	87809	25102
1942	407756	184278	99936	28598
1943	389730	192946	99936	21286
1944	337740	107616	73574	16679
1945	365813	137184	75611	13978
1946	380841	194665	99936	22814
1947	424279	194665	99936	29664
1948	461070	194665	99936	31158
1949	422221	177833	99936	23421
1950	427073	194665	99936	29624
1951	459319	194665	99936	30346
1952	458879	187288	99936	27202
1953	428819	194665	99936	26114
1954	463770	194665	99936	30217
1955	459617	194665	99936	28449
1956	439581	194665	99936	28586
1957	455849	180061	99936	27994
1958	428236	186759	99936	28968
1959	459677	194665	99936	31590
1960	460724	194665	99936	30776
1961	456441	187928	99936	31148
1962	459131	194257	99936	26655
1963	460213	194665	99936	28546
1964	461986	194665	99936	31000
1965	460121	194665	99936	28268
1966	459970	191802	99936	28601
1967	461676	194665	99936	30144
1968	462238	194664	99936	32111
1969	459264	192796	99936	29900
1970	419203	184737	99936	24222
1971	424995	194665	99936	27102
1972	460420	194665	99936	32111
1973	430119	176279	99936	26012
1974	462633	194665	99936	32111
1975	438790	194665	99936	28126
1976	465486	194665	99936	30020
1977	438403	80123	60155	22053
1978	366550	194665	99936	17963
1979	411712	179408	99936	22802
1980	355622	186682	99936	21657
1981	458247	194665	99936	31574
1982	463044	194665	99936	32111
1983	460457	194665	99936	31553
1984	459748	194665	99936	30553
1985	437612	184318	99936	15030
1986	425242	189721	99936	25408
1987	437117	151600	92888	23626
1988	437432	113726	73872	24190
1989	376846	176932	99936	18239
1990	454249	190947	99936	27744
1991	462767	194665	99936	25295
1992	459888	136904	87959	23636
1993	411811	170502	79057	21368
1994	410334	145416	86721	23369
1995	383787	186541	99936	24464
1996	462524	194665	99936	32111
1997	464631	194664	99936	32111
1998	450205	190799	99936	30020
1999	461882	194665	99936	27707

se_actual_hist_seq_peace
	13	14	16	17	18	19	20	21	22	23	24
1940	290905	290905	252958	252958	252958	252958	252958	252958	252958	252958	252958
1941	252958	252958	259166	259166	259166	259166	259166	259166	259166	259166	259166
1942	259166	259166	230477	230477	230477	230477	230477	230477	230477	230477	230477
1943	230477	230477	213954	213954	213954	213954	213954	213954	213954	213954	213954
1944	213954	213954	243593	243593	243593	243593	243593	243593	243593	243593	243593
1945	243593	243593	259566	259566	259566	259566	259566	259566	259566	259566	259566
1946	259566	259566	278520	278520	278520	278520	278520	278520	278520	278520	278520
1947	278520	278520	294604	294604	294604	294604	294604	294604	294604	294604	294604
1948	294604	294604	265023	265023	265023	265023	265023	265023	265023	265023	265023
1949	265023	265023	280003	280003	280003	280003	280003	280003	280003	280003	280003
1950	280003	280003	311442	311442	311442	311442	311442	311442	311442	311442	311442
1951	311442	311442	311862	311862	311862	311862	311862	311862	311862	311862	311862
1952	311862	311862	290763	290763	290763	290763	290763	290763	290763	290763	290763
1953	290763	290763	381234	381234	381234	381234	381234	381234	381234	381234	381234
1954	381234	381234	288028	288028	288028	288028	288028	288028	288028	288028	288028
1955	288028	288028	258417	258417	258417	258417	258417	258417	258417	258417	258417
1956	258417	258417	351752	351752	351752	351752	351752	351752	351752	351752	351752
1957	351752	351752	257481	257481	257481	257481	257481	257481	257481	257481	257481
1958	257481	257481	317655	317655	317655	317655	317655	317655	317655	317655	317655
1959	317655	317655	334805	334805	334805	334805	334805	334805	334805	334805	334805
1960	334805	334805	310524	310524	310524	310524	310524	310524	310524	310524	310524
1961	310524	310524	316022	316022	316022	316022	316022	316022	316022	316022	316022
1962	316022	316022	303067	303067	303067	303067	303067	303067	303067	303067	303067
1963	303067	303067	421319	421319	421319	421319	421319	421319	421319	421319	421319
1964	421319	421319	277725	277725	277725	277725	277725	277725	277725	277725	277725
1965	277725	277725	329176	329176	329176	329176	329176	329176	329176	329176	329176
