### forebay from storage, i.e., FB from V
FB_V_bkpt_GMS
    FB_bkpt	V_bkpt	
1	640.078	0	
2	640.9	8584.89	
3	641.9	19255.9	
4	642.9	30152.2	
5	643.9	41279.5	
6	644.9	52643.7	
7	645.9	64250.9	
8	646.9	76103.3	
9	647.9	88214.5	
10	648.9	100587	
11	649.9	113228	
12	650.9	126142	
13	651.9	139338	
14	652.9	152817	
15	653.9	166595	
16	654.9	180675	
17	655.9	195063	
18	656.9	209767	
19	657.9	224795	
20	658.9	240150	
21	659.9	255848	
22	660.9	271894	
23	661.9	288295	
24	662.9	305060	
25	663.9	322197	
26	664.9	339715	
27	665.9	357618	
28	666.9	375926	
29	667.9	394643	
30	668.9	413778	
31	669.9	433342	
32	670.9	453344	
33	671.9	473789	
34	691.9	900165	


FB_V_bkpt_MCA
    FB_bkpt	V_bkpt
1	659.312	0	
2	707.136	114629	
3	707.441	115363	
4	707.746	116071	
5	708.05	116832	
6	708.355	117572	
7	708.66	118313	
8	708.965	119058	
9	709.27	119803	
10	709.574	120550	
11	709.879	121301	
12	710.184	122051	
13	710.489	122807	
14	710.794	123563	
15	711.098	124322	
16	711.403	125084	
17	711.708	125846	
18	712.013	126610	
19	712.318	127378	
20	712.622	128148	
21	712.927	128918	
22	713.232	129691	
23	713.537	130467	
24	713.842	131249	
25	714.146	132033	
26	714.451	132820	
27	714.756	133610	
28	715.061	134406	
29	715.366	135204	
30	715.67	136009	
31	715.975	136816	
32	716.28	137628	
33	716.585	138444	
34	716.89	139262	
35	717.194	140089	
36	717.499	140919	
37	717.804	141751	
38	718.109	142592	
39	718.414	143436	
40	718.718	144286	
41	719.023	145138	
42	719.328	145999	
43	719.633	146862	
44	719.938	147732	
45	720.242	148607	
46	720.547	149487	
47	720.852	150377	
48	721.157	151269	
49	721.462	152166	
50	721.766	153070	
51	722.071	153981	
52	722.376	154899	
53	722.681	155822	
54	722.986	156751	
55	723.29	157688	
56	723.595	158631	
57	723.9	159580	
58	724.205	160537	
59	724.51	161502	
60	724.814	162471	
61	725.119	163451	
62	725.424	164436	
63	725.729	165430	
64	726.034	166429	
65	726.338	167438	
66	726.643	168457	
67	726.948	169482	
68	727.253	170516	
69	727.558	171555	
70	727.862	172605	
71	728.167	173664	
72	728.472	174732	
73	728.777	175808	
74	729.082	176893	
75	729.386	177988	
76	729.691	179090	
77	729.996	180206	
78	730.301	181327	
79	730.606	182460	
80	730.91	183604	
81	731.215	184756	
82	731.52	185914	
83	731.825	187081	
84	732.13	188250	
85	732.434	189426	
86	732.739	190606	
87	733.044	191790	
88	733.349	192982	
89	733.654	194177	
90	733.958	195378	
91	734.263	196584	
92	734.568	197796	
93	734.873	199011	
94	735.178	200228	
95	735.482	201455	
96	735.787	202683	
97	736.092	203918	
98	736.397	205156	
99	736.702	206399	
100	737.006	207647	
101	737.311	208899	
102	737.616	210156	
103	737.921	211419	
104	738.226	212688	
105	738.53	213959	
106	738.835	215234	
107	739.14	216516	
108	739.445	217802	
109	739.75	219093	
110	740.054	220387	
111	740.359	221687	
112	740.664	222992	
113	740.969	224301	
114	741.274	225614	
115	741.578	226934	
116	741.883	228259	
117	742.188	229587	
118	742.493	230918	
119	742.798	232258	
120	743.102	233600	
121	743.407	234948	
122	743.712	236298	
123	744.017	237655	
124	744.322	239017	
125	744.626	240385	
126	744.931	241755	
127	745.236	243128	
128	745.541	244510	
129	745.846	245895	
130	746.15	247285	
131	746.455	248679	
132	746.76	250077	
133	747.065	251482	
134	747.37	252892	
135	747.674	254305	
136	747.979	255724	
137	748.284	257145	
138	748.589	258572	
139	748.894	260005	
140	749.198	261444	
141	749.503	262885	
142	749.808	264332	
143	750.113	265782	
144	750.418	267237	
145	750.722	268699	
146	751.027	270165	
147	751.332	271635	
148	751.637	273110	
149	751.942	274591	
150	752.246	276075	
151	752.551	277565	
152	752.856	279057	
153	753.161	280558	
154	753.466	282058	
155	753.77	283568	
156	754.075	285080	
157	774.075	384672	
			

# HPG curve, i.e., power from turbine release given FB
P_bkpt_slope	
	GMS	MCA
1	0	0
2	1.45814629	2.84547
3	4.67764059	5.78516
4	6.33183092	8.46428
5	7.48004614	11.13
6	9.11428655	13.6476
7	10.73250687	16.115
8	12.68408555	17.5424
9	14.05209371	19.0992
10	19.26280852	20.4028


P_bkpt_intercept	
	GMS	MCA
1	0	0
2	-725.4310424	-1688.92
3	-2140.120348	-3451.82
4	-3002.008372	-5082.52
5	-3531.514902	-6713.74
6	-4386.021401	-8235.24
7	-5230.975758	-9723.57
8	-6312.979298	-10634
9	-7003.178167	-11640.8
10	-9862.637826	-12374.9


QT_bkpt_slope	
	GMS	MCA
1	0	0
2	-0.06638	0.1845
